Date,Ride,Average Wait Time (mins),Max Wait Time (mins)
2018-08-09,Coast Rider,8.0,10.0
2018-08-09,Silver Bullet,8.0,10.0
2018-08-09,Jaguar!,8.0,10.0
2018-08-09,Pony Express,8.0,10.0
2018-08-09,Calico Mine Ride,5.0,5.0
2018-08-09,Montezooma's Revenge,5.0,5.0
2018-08-09,Supreme Scream,5.0,5.0
2018-08-09,Voyage to the Iron Reef,5.0,5.0
2018-08-09,Bloodline 1842,,
2018-08-09,Dark Ride,,
2018-08-09,Paranormal Inc.,,
2018-08-09,Pumpkin Eater,,
2018-08-09,Special Ops: Infected,,
2018-08-09,The Red Barn,,
2018-08-09,Trick or Treat: Lights Out,,
2018-08-10,GhostRider,62.0,90.0
2018-08-10,Calico Mine Ride,5.0,5.0
2018-08-10,Calico River Rapids,5.0,5.0
2018-08-10,Coast Rider,5.0,5.0
2018-08-10,HangTime,5.0,5.0
2018-08-10,Jaguar!,5.0,5.0
2018-08-10,Montezooma's Revenge,5.0,5.0
2018-08-10,Pony Express,5.0,5.0
2018-08-10,Sierra Sidewinder,5.0,5.0
2018-08-10,Silver Bullet,5.0,5.0
2018-08-10,Supreme Scream,5.0,5.0
2018-08-10,Timber Mountain Log Ride,5.0,5.0
2018-08-10,Voyage to the Iron Reef,5.0,5.0
2018-08-10,Xcelerator The Ride,5.0,5.0
2018-08-10,Bloodline 1842,,
2018-08-10,Dark Ride,,
2018-08-10,Paranormal Inc.,,
2018-08-10,Pumpkin Eater,,
2018-08-10,Special Ops: Infected,,
2018-08-10,The Red Barn,,
2018-08-10,Trick or Treat: Lights Out,,
2018-08-11,GhostRider,85.0,100.0
2018-08-11,HangTime,61.0,80.0
2018-08-11,Xcelerator The Ride,60.0,65.0
2018-08-11,Sierra Sidewinder,55.0,55.0
2018-08-11,Pony Express,45.0,45.0
2018-08-11,Timber Mountain Log Ride,42.0,45.0
2018-08-11,Silver Bullet,30.0,30.0
2018-08-11,Voyage to the Iron Reef,24.0,25.0
2018-08-11,Coast Rider,22.0,40.0
2018-08-11,Jaguar!,10.0,10.0
2018-08-11,Supreme Scream,10.0,10.0
2018-08-11,Calico Mine Ride,5.0,5.0
2018-08-11,Montezooma's Revenge,5.0,5.0
2018-08-11,Calico River Rapids,,
2018-08-11,Bloodline 1842,,
2018-08-11,Dark Ride,,
2018-08-11,Paranormal Inc.,,
2018-08-11,Pumpkin Eater,,
2018-08-11,Special Ops: Infected,,
2018-08-11,The Red Barn,,
2018-08-11,Trick or Treat: Lights Out,,
2018-08-12,GhostRider,73.0,80.0
2018-08-12,Sierra Sidewinder,50.0,50.0
2018-08-12,Xcelerator The Ride,39.0,80.0
2018-08-12,HangTime,33.0,35.0
2018-08-12,Timber Mountain Log Ride,30.0,30.0
2018-08-12,Calico River Rapids,21.0,25.0
2018-08-12,Coast Rider,20.0,20.0
2018-08-12,Jaguar!,20.0,20.0
2018-08-12,Pony Express,20.0,20.0
2018-08-12,Voyage to the Iron Reef,20.0,20.0
2018-08-12,Calico Mine Ride,15.0,15.0
2018-08-12,Montezooma's Revenge,15.0,15.0
2018-08-12,Silver Bullet,14.0,15.0
2018-08-12,Supreme Scream,10.0,10.0
2018-08-12,Bloodline 1842,,
2018-08-12,Dark Ride,,
2018-08-12,Paranormal Inc.,,
2018-08-12,Pumpkin Eater,,
2018-08-12,Special Ops: Infected,,
2018-08-12,The Red Barn,,
